SKU,NAME
CUR04010,"Current USA Satellite Plus PRO Led Fixture 18""-24"""
CUR04011,"Current USA Satellite Plus PRO Led Fixture 24""-36"""
CUR04012,"Current USA Satellite Plus PRO Led Fixture 36""-48"""
CUR04013,"Current USA Satellite Plus PRO Led Fixture 48""-60"""
CUR04025,"Current USA Serene Freshwater LED Kit 24""-36"" w/ Background LED, WIreles..."
CUR04026,"Current USA Serene Freshwater LED Kit 36""-48"" w/ Background LED, WIreles..."
CUR04027,"Current USA Serene Freshwater LED Kit 48""-60"" w/ Background LED, WIreles..."
CUR04028,"Current USA Serene Freshwater LED Kit 72"" w/ Background LED, WIreless Re..."
CUR04100,"Current USA Orbit Marine Led Fixture 18""-24"""
CUR04101,"Current USA Orbit Marine Led Fixture 24""-36"""
CUR04102,"Current USA Orbit Marine Led Fixture 36""-48"""
CUR04103,"Current USA Orbit Marine Led Fixture 48""-60"""
CUR04104,"Current USA Orbit Marine IC 18""-24"""
CUR04106,"Current USA Orbit Marine IC 36""-48"""
CUR04111,"Current USA Orbit Marine PRO Led Fixture 24""-36"""
CUR04124,"Current USA Orbit Marine IC Accessory Light Fixture Only 18"" to 24"""
CUR04125,"Current USA Orbit Marine IC Accessory Light Fixture Only 24"" to 36"""
CUR04126,"Current USA Orbit Marine IC Accessory Light Fixture Only 36"" to 48"""
CUR04127,"Current USA Orbit Marine IC Accessory Light Fixture Only 48"" to 60"""
CUR04128,"Current USA Orbit Marine IC Accessory Light Fixture Only 72"" (NO FREE FREI..."
CUR04180,Current USA Loop Main Extension Cable 9'
CUR04193,Current USA Orbit Adjustable Tank Mount Bracket
CUR04194,Current USA Orbit LED Tank Mount Bracket XW Version (Extra Wide)
CUR04197,Current USA Loop Controller Hinge Mount Bracket
CUR04204,"Current Orbit Marine IC LED System with Bluetooth Controller 18""-24"""
CUR04205,"Current Orbit Marine IC LED System with Bluetooth Controller 24""-36"""
CUR04206,"Current Orbit Marine IC LED System with Bluetooth Controller 36""-48"""
CUR04207,"Current Orbit Marine IC LED System with Bluetooth Controller 48""-60"""
CUR04208,"Current Orbit Marine IC LED System with Bluetooth Controller 72"" (NO FREE F..."
CUR04210,"Current SereneSun LE PRO LED Light 18""-24"" w/Wireless 24 Hr. Remote Cont..."
CUR04211,"Current SereneSun LE PRO LED Light 24""-36"" w/Wireless 24 Hr. Remote Cont..."
CUR04212,"Current SereneSun LE PRO LED Light 36""-48"" w/Wireless 24 Hr. Remote Cont..."
CUR04213,"Current SereneSun LE PRO LED Light  48""-60"" w/Wireless 24 Hr. Remote Con..."
CUR04226,"Current Orbit Marine IC PRO 36"" to 48"""
CUR04300,"Current 36"" Loop Marine Bundle - Orbit Marine IC PRO LED light, adjustable ta..."
CUR04301,"Current 48"" Loop Marine Bundle - Orbit Marine IC PRO LED light, adjustable ta..."
CUR04302,"Current 72"" Loop Marine Bundle - Orbit Marine IC PRO LED light, adjustable ta..."
CUR04305,"Current USA Orbit Marine IC LED 18"" 2X / BT Exclusive Bundle (MAP $199.95)"
CUR04306,"Current USA Orbit Marine IC LED 24"" 2X / BT Exclusive Bundle (MAP $229.95)"
CUR04325,"Current SereneSun Freshwater LED 24""-36"" w/Wireless 24 Hr. Remote Control"
CUR04326,"Current SereneSun Freshwater LED 36""-48"" w/Wireless 24 Hr. Remote Control"
CUR04327,"Current SereneSun Freshwater LED 48""-60"" w/Wireless 24 Hr. Remote Control"
CUR04328,"Current SereneSun Freshwater LED 72"" w/Wireless 24 Hr. Remote Control"
CUR04334,"Current USA Orbit Marine IC PRO with Bluetooth Controller 18""-24""   *** PRO ***"
CUR04335,"Current USA Orbit Marine IC PRO with Bluetooth Controller 24""-36""   *** PRO ***"
CUR04336,"Current USA Orbit Marine IC PRO with Bluetooth Controller 36""-48""   *** PRO ***"
CUR04337,"Current USA Orbit Marine IC PRO with Bluetooth Controller 48""-60""   *** PRO ***"
CUR04338,"Current USA Orbit Marine IC PRO with Bluetooth Controller 72""  (NO FREE FR..."
CUR05076,Current Replacement Power Supply for Orbit Marine IC
CUR06000,Current USA eFlux Wave Pump Kit 660gph
CUR06001,Current USA eFlux Wave Pump Kit 1050gph
CUR06002,Current USA eFlux Wave Pump Kit 2100gph
CUR06004,Current USA eFlux Accessory Wave Pump 660gph
CUR06005,Current USA eFlux Accessory Wave Pump 1050gph
CUR06006,Current USA eFlux Accessory Wave Pump 2100gph
CUR06009,Current USA eFlux DC Flow Pump 1050gph
CUR06010,Current USA eFlux DC Flow Pump 1900gph
CUR06011,Current USA eFlux DC Flow Pump 3170gph
CUR07316,"Current USA 48"" Serene Aquarium Only with Knockdown Cabinet, Gray Wood ..."
CUR07398,Current Desert Tan Manzanita Wood Branch w/ Weighted Base
CUR07817,Current Black Manzanita Wood Branch w/ Weighted Base
CUR09001,Current Nano-Reef Orbit IC SINGLE LED Light and eFlux Wave Pump Bundle ...
CUR09002,Current Nano-Reef Orbit IC SINGLE LED Light and eFlux Wave Pump Bundle ...
CUR09003,Current Nano-Reef Orbit IC DUAL LED Light and eFlux Wave Pump Bundle 18...
CUR09004,Current Nano-Reef Orbit IC DUAL LED Light and eFlux Wave Pump Bundle 24...
CUR DISCONTINUED,
CV00000,Hydros Rope Leak Cable Extension
CV-LC1B,Hydros 9FT Rope Leak Detector
CV64121,Hydros Slim Temperature Probe
CV64120,Hydros DC Micro Pump
CV21200,Hydros DC Solenoid Valve
CV21199,Hydros Temperature Sensor
CV21194,Hydros Auto Top-Off (ATO) Kit
CV64115,Hydros Wifi Power Strip
CV64116,Hydros Control 2
CV64118,Hydros Control 2 Starter Pack
CV64117,Hydros Control 4
CV64100,Hydros Smart Wifi Plug
CV64119,Hydros Control 4 Starter Pack
CV64102,Hydros Reef Octopus Varios/Pulse WE Pump Adapter
CV64103,Hydros Maxspect Gyre 130/230 WE Pump Adapter
CV64104,Hydros Maxspect Gyre 150/250/280 WE Pump Adapter
CV64105,Hydros Maxspect Gyre 330/350 WE Pump Adapter
CV64106,Hydros 0-10V Quad WE Pump Adapter
CV64107,Hydros WaveEngine APX Link Adapter
CV64108,Hydros Wave Engine
CV64109,Hydros Wave Engine with Ecotech Module
CV64111,Hydros IceCap Gyre WE Pump Adapter
CV64112,Hydros Tunze WE Pump Adapter
CW00000,
CW00141,Clear Water Scrubbers CW-50
CW00140,Clear Water Scrubbers CW-100
CW00142,Clear Water Scrubbers CW-200
CW00143,Clear Water Scrubbers CW-300
CW00144,Clear Water Scrubbers CW-50 Blackout Cover
CW00145,Clear Water Scrubbers CW-100 Blackout Cover
CW00146,Clear Water Scrubbers CW-200 Blackout Cover
CW00147,Clear Water Scrubbers CW-300 Blackout Cover
DA00000,
DA02312,Dainichi Cichlid Color Supreme Floating Small Pellet 8.8oz
DA02712,Dainichi XL PRO Cichlid Floating Small Pellet 8.8oz
DA02722,Dainichi XL PRO Cichlid Floating Medium Pellet 8.8oz
DA12202,Dainichi Ultima Krill Cichlid Sinking Baby Pellet 8.8oz
DA12212,Dainichi Ultima Krill Cichlid Sinking Small Pellet 8.8oz
DA12213,Dainichi Ultima Krill Cichlid Sinking Small Pellet 1.1 lb
DA12222,Dainichi Ultima Krill Cichlid Sinking Medium Pellet 8.8oz
DA12312,Dainichi Cichlid Color Supreme Sinking Small Pellet 8.8oz
DA12314,Dainichi Cichlid Color Supreme Sinking Small Pellet 5.5 lb
DA12402,Dainichi Cichlid Veggie Deluxe Sinking Baby Pellet 8.8oz
DA12412,Dainichi Cichlid Veggie Deluxe Sinking Small Pellet 8.8oz
DA12414,Dainichi Cichlid Veggie Deluxe Sinking Small Pellet 5.5 lb
DA12502,Dainichi Cichlid Veggie FX Sinking Baby Pellet 8.8oz
DA12512,Dainichi Cichlid Veggie FX Sinking Small Pellet 8.8oz
DA12513,Dainichi Cichlid Veggie FX Sinking Pellet Small 1.1 lb
DA12514,Dainichi Cichlid Veggie FX Sinking Small Pellet 5.5 lb
DA12602,Dainichi Color FX Cichlid Sinking Baby Pellet 8.8oz
DA12612,Dainichi Color FX Cichlid Sinking Small Pellet 8.8oz
DA12613,Dainichi Color FX Cichlid Sinking Small Pellet 1.1 lb
DA12614,Dainichi Color FX Cichlid Sinking Small Pellet 5.5 lb
DA12702,Dainichi XL PRO Cichlid Sinking Baby Pellet 8.8oz
DA12712,Dainichi XL PRO Cichlid Sinking Small Pellet 8.8oz
DAN12790,Danner Impeller for Mag 36
DAN12505,"Danner Small Prefilter for Mag 2,3,5,7"
DAN12285,"Danner Large Prefilter for Mag 2,3,5,7"
DAN12730,"Danner Large Prefilter for Mag 9.5,12,18,24"
DAN12535,Danner Volute for Mag 2 & Mag 3
DAN12545,Danner Volute for Mag 5 & Mag 7
DAN12733,Danner Volute for Mag 9.5
DAN12741,Danner Volute for Mag 12 & Mag 18
DAN12783,Danner Volute for Mag 24 & Mag 36
DAN14605,Danner Replacement Diaphragm Assembly for AP-4 & AP-8
DAN14525,Danner Diaphragm Kit for AP-20
DAN14545,Danner Diaphragm Kit for AP-40
DAN14555,Danner Diaphragm Kit for AP-60
DAN14565,Danner Diaphragm Kit for AP-100
DAN14515,Danner Replacement Manifold for AP-40
DAN14550,Danner Replacement Manifold for AP-60
DAN14560,Danner Replacement Manifold for AP-100
DAN16505,Danner Supreme Mag Drive Venturi Assembly with Tubing and Muffler - Fits M...
DAN16745,Danner Supreme Mag Drive Fractionating Impeller - Fits Mag 9.5 *** DISCONT...
DAN03800,Danner Table Top Fountain - The Pearl
DAN03802,Danner Table Top Fountain - The Halo
DD00000,
DD02000,DD Aquascape Epoxy Coraline 4oz
DD02001,DD Aquascape Epoxy Grey 4oz
DD02303,DD ClariSea Auto Roller Filter SK-3000
DD02304,DD ClariSea Auto Roller Filter SK-5000
DD55312,DD Clarisea Replacement Roller Fleece 3000XL (SK-3000)
DD55313,DD Clarisea Replacement Roller Fleece 5000XL (SK-5000)
DD02009,DD Seawater Refractometer
DD55205,DD Jumpguard - Flex-Cutout Kit
DD55206,DD Jumpguard - Multi Cutout Kit
DD55207,DD Jumpguard - Brace Bar Set
DD55212,"DD Jumpguard Replacement Mesh 200cm x 110cm (78.75"" x 43.5"")"
DD55216,"DD Jumpguard Pro 75cm x 75cm (29.5"" x 29.5"")"
DD55217,"DD Jumpguard Pro 120cm x 75cm (47.25"" x 29.5"")"
DD55218,"DD Jumpguard Pro 180cm x 90cm (71"" x 35.5"")"
DT00000,
DT01000,DrTim's Aquatics FRESHWATER One & Only 2oz
DT01001,DrTim's Aquatics FRESHWATER One & Only 4oz
DT01002,DrTim's Aquatics FRESHWATER One & Only 8oz
DT01003,DrTim's Aquatics FRESHWATER One & Only 16oz
DT01004,DrTim's Aquatics FRESHWATER One & Only 32oz
DT01005,DrTim's Aquatics FRESHWATER One & Only 64oz
DT01006,DrTim's Aquatics FRESHWATER One & Only 128oz
DT01011,DrTim's Aquatics FRESHWATER AquaCleanse 4oz
DT01012,DrTim's Aquatics FRESHWATER AquaCleanse 8oz
DT01013,DrTim's Aquatics FRESHWATER AquaCleanse 16oz
DT01021,DrTim's Aquatics FRESHWATER First Defense 4oz
DT01022,DrTim's Aquatics FRESHWATER First Defense 8oz
DT01023,DrTim's Aquatics FRESHWATER First Defense 16oz
DT01041,DrTim's Aquatics FRESHWATER Clear-Up 4oz
DT01042,DrTim's Aquatics FRESHWATER Clear-Up 8oz
DT01043,DrTim's Aquatics FRESHWATER Clear-Up 16oz
DT01051,DrTim's Aquatics FRESHWATER Re-Fresh 4oz
DT01052,DrTim's Aquatics FRESHWATER Re-Fresh 8oz
DT01061,DrTim's Aquatics FRESHWATER Eco-Balance 4oz
DT01062,DrTim's Aquatics FRESHWATER Eco-Balance 8oz
DT01063,DrTim's Aquatics FRESHWATER Eco-Balance 16oz
DT01071,DrTim's Aquatics FRESHWATER Waste-Away 4oz
DT01072,DrTim's Aquatics FRESHWATER Waste-Away 8oz
DT01073,DrTim's Aquatics FRESHWATER Waste-Away 16oz
DT01074,DrTim's Aquatics FRESHWATER Waste-Away 32oz
DT01075,DrTim's Aquatics FRESHWATER Waste-Away 64oz
DT01076,DrTim's Aquatics FRESHWATER Waste-Away 128oz
DT01080,DrTim's Aquatics FRESHWATER Waste-Away Gel (10gal) Single
DT01081,DrTim's Aquatics FRESHWATER Waste-Away Gel Sm (10 gal) 2-pk
DT01082,DrTim's Aquatics FRESHWATER Waste-Away MD (30 gal) Single
DT01083,DrTim's Aquatics FRESHWATER Waste-Away MD (30 gal) 2-pk
DT01084,DrTim's Aquatics FRESHWATER Waste-Away LG (75 gal) Single
DT01085,DrTim's Aquatics FRESHWATER Waste-Away Gel LG (75 gal) 2-pk
DT01086,DrTim's Aquatics FRESHWATER Waste-Away Gel PRO (1500 gal)
DT01089,DrTim's Aquatics FRESHWATER Waste-Away Gel DISPLAY (2 of each size)
DT01280,DrTim's Aquatics MARINE Waste-Away Gel SM (10 gal) Single
DT01281,DrTim's Aquatics MARINE Waste-Away Gel SM (10 gal) 2-pk
DT01282,DrTim's Aquatics MARINE Waste-Away Gel MD (30 gal) Single
DT01283,DrTim's Aquatics MARINE Waste-Away Gel MD (30 gal) 2-pk
DT01284,DrTim's Aquatics MARINE Waste-Away Gel LG (75 gal) Single
DT01285,DrTim's Aquatics MARINE Waste-Away Gel LG (75 gal) 2-pk
DT01286,DrTim's Aquatics MARINE Waste-Away Gel PRO (1500 gal)
DT01289,DrTim's Aquatics MARINE Waste-Away Gel DISPLAY (2 of each size)
DT01400,DrTim's Aquatics MARINE One & Only 2oz
DT01401,DrTim's Aquatics MARINE One & Only 4oz
DT01402,DrTim's Aquatics MARINE One & Only 8oz
DT01403,DrTim's Aquatics MARINE One & Only 16oz
DT01404,DrTim's Aquatics MARINE One & Only 32oz
DT01405,DrTim's Aquatics MARINE One & Only 64oz
DT01406,DrTim's Aquatics MARINE One & Only 128oz
DT01421,DrTim's Aquatics MARINE First Defense 4oz
DT01422,DrTim's Aquatics MARINE First Defense 8oz
DT01423,DrTim's Aquatics MARINE First Defense 16oz
DT01424,DrTim's Aquatics MARINE First Defense 32oz
DT01425,DrTim's Aquatics MARINE First Defense 64oz
DT01441,DrTim's Aquatics MARINE Clear-Up 4oz
DT01442,DrTim's Aquatics MARINE Clear-Up 8oz
DT01443,DrTim's Aquatics MARINE Clear-Up 16oz
DT01444,DrTim's Aquatics MARINE Clear-Up 32oz
DT01451,DrTim's Aquatics MARINE Re-Fresh 4oz
DT01452,DrTim's Aquatics MARINE Re-Fresh 8oz
DT01453,DrTim's Aquatics MARINE Re-Fresh 16oz
DT01454,DrTim's Aquatics MARINE Re-Fresh 32oz
DT01455,DrTim's Aquatics MARINE Re-Fresh 64oz
DT01456,DrTim's Aquatics MARINE Re-Fresh 128oz
DT01461,DrTim's Aquatics MARINE Eco-Balance 4oz
DT01462,DrTim's Aquatics MARINE Eco-Balance 8oz
DT01463,DrTim's Aquatics MARINE Eco-Balance 16oz
DT01471,DrTim's Aquatics MARINE Waste-Away 4oz
DT01472,DrTim's Aquatics MARINE Waste-Away 8oz
DT01473,DrTim's Aquatics MARINE Waste-Away 16oz
DT01474,DrTim's Aquatics MARINE Waste-Away 32oz
DT01475,DrTim's Aquatics MARINE Waste-Away 64oz
DT01476,DrTim's Aquatics MARINE Waste-Away 128oz
DT01709,DrTim's Aquatics FRESHWATER Fish Food Starter Kit
DT01719,DrTim's Aquatics MARINE Fish Food Starter Kit
DT01773,DrTim's Aquatics Extra Peas Refill 1.04oz
DT01775,DrTim's Aquatics Extra Seaweed Refill 1.04oz
DT01797,DrTim's Aquatics Fish Food Tray 90 Cube
DT01800,DrTim's Aquatics NP-Active Pearls 150mL
DT01801,DrTim's Aquatics NP-Active Pearls 450mL
DT01802,DrTim's Aquatics NP-Active Pearls 900mL
DT01806,DrTim's Aquatics NP-Active Pearls 3785mL
DT01830,DrTim's Aquatics Ammonium Chloride 2oz
DT01831,DrTim's Aquatics Ammonium Chloride 4oz
DUR00000,
DUR01003,"PVC Ball Valve 1/2"" - SxS GRAY"
DUR01013,"PVC Ball Valve 1.5"" - TxT GRAY"
DUR01033,"PVC True Union Ball Valve 1/2"" - SxS or TxT GRAY"
DUR01041,"PVC True Union Ball Valve 3/4"" - SxS or TxT GRAY"
DUR01042,"PVC True Union Ball Valve 1.5"" - SxS or TxT GRAY"
DUR01043,"PVC True Union Ball Valve 1"" - SxS or TxT GRAY"
DUR01044,"PVC True Union Ball Valve 2"" - SxS or TxT GRAY"
DUR01035,"PVC Union 1/2"" - TxT GRAY"
DUR01047,"PVC Union 3/4"" - SxS WHITE"
DUR01048,"PVC Union 3/4"" - TxT WHITE"
DUR01050,"PVC Union 3/4"" - TxT GRAY"
DUR01051,"PVC Union 1"" - SxS WHITE"
DUR01052,"PVC Union 1"" - TxT WHITE"
DUR01054,"PVC Union 1"" - TxT GRAY"
DUR01055,"PVC Union 1.5"" - SxS WHITE"
DUR01056,"PVC Union 1.5"" - TxT WHITE"
DUR01058,"PVC Union 1.5"" - TxT GRAY"
DUR01059,"PVC Union 2"" - SxS WHITE"
DUR01060,"PVC Union 2"" - TxT WHITE"
DUR01062,"PVC Union 2"" - TxT GRAY"
DUR01125,"PVC True Union Ball Valve 1.25"" - SxS or TxT GRAY"
DUR01182,"Check Valve - PVC True Union Ball Check Valve 1/2"" - SxS or TxT GRAY"
DUR01185,"Check Valve - PVC True Union Ball Check Valve 3/4"" - SxS or TxT GRAY"
DUR01186,"Check Valve - PVC True Union Ball Check Valve 1"" - SxS or TxT GRAY"
DUR01190,"Check Valve - PVC True Union Ball Check Valve 1.5"" - SxS or TxT GRAY"
DUR01192,"Check Valve - PVC True Union Ball Check Valve 2"" - SxS or TxT GRAY"
DUR01418,"PVC Single Union Ball Valve 3/4""MPT x Socket/FPT - GRAY"
DUR01420,"PVC Single Union Ball Valve 1""MPT x Socket/FPT - GRAY"
DUR01424,"PVC Single Union Ball Valve 1.5""MPT x Socket/FPT - GRAY"
DUR01438,"PVC Ball Valve 2"" - SxS WHITE"
DUR01462,"PVC Ball Valve 1/2"" - SxS WHITE"
DUR01463,"PVC Ball Valve 3/4"" - SxS WHITE"
DUR01464,"PVC Ball Valve 1"" - SxS WHITE"
DUR01466,"PVC Ball Valve 1.5"" - SxS WHITE"
DUR01468,"PVC Ball Valve 1/2"" - TxT WHITE"
DUR01469,"PVC Ball Valve 3/4"" - TxT WHITE"
DUR01470,"PVC Ball Valve 1"" - TxT WHITE"
DUR01472,"PVC Ball Valve 1.5"" - TxT WHITE"
DUR01473,"PVC Ball Valve 2""  - TxT WHITE"
DUR01475,"PVC Ball Valve 3/4"" - SxS GRAY"
DUR01476,"PVC Ball Valve 1"" - SxS GRAY"
DUR01478,"PVC Ball Valve 1.5"" - SxS GRAY"
DUR01480,"PVC Ball Valve 1/2"" - TxT GRAY"
DUR01481,"PVC Ball Valve 3/4"" - TxT GRAY"
DUR01482,"PVC Ball Valve 1"" - TxT GRAY"
DUR10214,"Marlex Nipple 3/4"" x 3"" - TxT BLACK"
DUR10217,"Marlex Nipple 3/4"" x 6"" - TxT BLACK"
DUR10223,"Marlex Nipple 1"" x 3"" - TxT BLACK"
DUR10228,"Marlex Nipple 1"" x 6"" - TxT BLACK"
DUR10450,"Insert Adapter 1/2""SPG x 1/2""Hose - GRAY"
DUR10452,"Insert Adapter 3/4""SPG x 3/4""Hose - GRAY"
DUR10454,"Insert Adapter 1""SPG x 1""Hose - GRAY"
DUR10456,"Insert Adapter 1.25""SPG x 1.25""Hose - GRAY"
DUR10458,"Insert Adapter 1.5""SPG x 1.5""Hose - GRAY"
DUR10500,"Insert Adapter 1/2""FPT x 5/8""Hose - GRAY"
DUR10501,"Insert Adapter 3/4""FPT x 3/4""Hose - GRAY"
DUR10502,"Insert Adapter 1""FPT x 1""Hose - GRAY"
DUR10503,"Insert Adapter 1.25""FPT x 1.25""Hose - GRAY"
DUR10504,"Insert Adapter 1.5""FPT x 1.5"" Hose - GRAY"
DUR10505,"Insert Adapter 2""FPT x 2""Hose - GRAY"
DUR10507,"Insert Adapter 1/2""MPT x 5/8""Hose - GRAY"
DUR10508,"Insert Adapter 3/4""MPT x 3/4""Hose - GRAY"
DUR10509,"Insert Adapter 1""MPT x 1""Hose - GRAY"
DUR10510,"Insert Adapter 1.25""MPT x 1.25""Hose - GRAY"
DUR10528,"Insert Adapter 3/4""MPT x 1""Hose - GRAY"
DUR10538,"Insert Adapter 1.5""MPT x 1""Hose - GRAY"
DUR10546,"Insert Coupling 1.25""Hose x 1.25""Hose - GRAY"
DUR10547,"Insert Coupling 1.5""Hose x 1.5""Hose - GRAY"
DUR10559,"Insert Reducing Coupler 3/4""Hose x 5/8""Hose - GRAY"
DUR10561,"Insert Reducing Coupler 1""Hose x 3/4""Hose - GRAY"
DUR10565,"Insert Reducing Coupler 1.5""Hose x 1""Hose - GRAY"
DUR10595,"Insert Elbow 1/2""FPT x 5/8""Hose - GRAY"
DUR10597,"Insert Elbow 3/4""FPT x 3/4""Hose - GRAY"
DUR10600,"Insert Elbow 1""FPT x 1""Hose - GRAY"
DUR10604,"Insert Elbow 1.25""FPT x 1.25""Hose - GRAY"
DUR10607,"Insert Elbow 1.5""FPT x 1.5""Hose - GRAY"
DUR10611,"Insert Elbow 1/2""MPT x 5/8""Hose - GRAY"
DUR10612,"Insert Elbow 3/4""MPT x 3/4""Hose - GRAY"
DUR10613,"Insert Elbow 1""MPT x 1""Hose - GRAY"
DUR10614,"Insert Elbow 1.25""MPT x 1.25""Hose - GRAY"
DUR10679,"Insert Tee 1/2""FPT x 3/4""Hose x 3/4""Hose - GRAY"
DUR10680,"Insert Tee 3/4""FPT x 3/4""Hose x 3/4""Hose - GRAY"
DUR10683,"Insert Tee 1""FPT x 1""Hose x 1""Hose - GRAY"
DUR11857,"PVC Pipe Nipple 3/4"" Sched 80 - 6"" Long - GRAY"
DUR12456,"PVC Pipe Nipple 1"" Sched 80 - 3"" Long - GRAY"
DUR12457,"PVC Pipe Nipple 1.5"" x 3"" Long - BLACK"
DUR12900,"PVC 90 Degree Street Elbow Socket 3/4"" WHITE"
DUR12901,"PVC 90 Degree Street Elbow Socket 1"" WHITE"
DUR13046,"PVC Female Adapter 3/4"" - SxT BLACK"
DUR13053,"PVC Female Adapter 1"" - SxT BLACK"
DUR13066,"PVC Female Adapter 1.5"" - SxT WHITE"
DUR13137,"PVC Male Adapter 1"" - SxT BLACK"
DUR13138,"PVC Male Adapter 3/4"" - SxT BLACK"
DUR13139,"PVC Male Adapter 1.5"" - SxT BLACK"
DUR13304,"PVC Reducer Bushing 3/4"" x 1/2"" - SxS WHITE"
DUR13310,"PVC Reducer Bushing 1"" x 3/4"" - SxS WHITE"
DUR13318,"PVC Reducer Bushing 1.25"" x 3/4"" - SxS WHITE"
DUR13326,"PVC Reducer Bushing 1.5"" x 1"" - SxS WHITE"
DUR13328,"PVC Reducer Bushing 1.5"" x 3/4"" - SxS WHITE"
DUR13332,"PVC Reducer Bushing 2"" x 1.5"" - SxS WHITE"
DUR13334,"PVC Reducer Bushing 2"" x 1"" -  SxS WHITE"
DUR13337,"PVC Reducer Bushing 2"" x 3/4"" - SxS BLACK"
DUR13436,"PVC Reducer Bushing 3/4"" x 1/2"" - SxT WHITE"
DUR13446,"PVC Reducer Bushing 1"" x 3/4"" - SxT WHITE"
DUR13454,"PVC Reducer Bushing 1.25"" x 1"" - SxT WHITE"
DUR13456,"PVC Reducer Bushing 1.25"" x 3/4"" - SxT WHITE"
DUR13466,"PVC Reducer Bushing 1.5"" x 1.25"" - SxT WHITE"
DUR13468,"PVC Reducer Bushing 1.5"" x 1"" - SxT WHITE"
DUR13470,"PVC Reducer Bushing 1.5"" x 3/4"" - SxT WHITE"
DUR13476,"PVC Reducer Bushing 2"" x 1.5"" - SxT WHITE"
DUR13478,"PVC Reducer Bushing 2"" x 1.25"" - SxT WHITE"
DUR13480,"PVC Reducer Bushing 2"" x 1"" - SxT BLACK"
DUR13482,"PVC Reducer Bushing 2"" x 3/4"" - SxT BLACK"
DUR13558,"PVC Reducer Bushing 3/4"" x 1/2"" - TxT WHITE"
DUR13562,"PVC Reducer Bushing 3/4"" x 1/4"" - TxT WHITE"
DUR13568,"PVC Reducer Bushing 1"" x 3/4"" - TxT WHITE"
DUR13576,"PVC Reducer Bushing 1.25"" x 1"" - TxT WHITE"
DUR13578,"PVC Reducer Bushing 1.25"" x 3/4"" - TxT WHITE"
DUR13588,"PVC Reducer Bushing 1.5"" x 1.25"" - TxT WHITE"
DUR13590,"PVC Reducer Bushing 1.5"" x 1"" - TxT WHITE"
DUR13592,"PVC Reducer Bushing 1.5"" x 3/4"" - TxT WHITE"
DUR13598,"PVC Reducer Bushing 2"" x 1.5"" - TxT WHITE"
DUR13681,"PVC Cap 3/4"" - Slip BLACK"
DUR13683,"PVC Cap 1"" - Slip BLACK"
DUR13754,"PVC Coupling 1"" - SxS WHITE"
DUR13795,"Marlex Coupling 1/2"" - TxT BLACK"
DUR13797,"Marlex Coupling 3/4"" - TxT BLACK"
DUR13799,"Marlex Coupling 1"" - TxT BLACK"
DUR13802,"PVC Coupling 1.5"" - TxT GRAY"
DUR13812,"PVC Reducer Coupling 3/4""x1/2"" - TxT WHITE"
DUR13814,"PVC Reducer Coupling 1"" x 3/4 inch - TxT WHITE"
DUR13823,"PVC Coupling 1/2"" - TxT WHITE"
DUR13825,"PVC Coupling 3/4"" - TxT WHITE"
DUR13827,"PVC Coupling 1"" - TxT WHITE"
DUR14026,"PVC 45 Degree Elbow 1"" - SxS WHITE"
DUR14030,"PVC 45 Degree Elbow 1.5"" - SxS WHITE"
DUR14065,"PVC Elbow 3/4"" - SxS Black"
DUR14069,"PVC Elbow 1"" - SxS BLACK"
DUR14070,"PVC Elbow 1.5"" - SxS BLACK"
DUR14115,"PVC 45 Degree Elbow 1"" - SPG x Slip WHITE"
DUR14123,"PVC Elbow 3/4"" - SxT BLACK"
DUR14125,"PVC Elbow 1"" - SxT BLACK"
DUR14140,"PVC Elbow 1.5"" - SxT WHITE"
DUR14175,"PVC 90 Degree Street Elbow 3/4"" - MPTxS BLACK"
DUR14208,"PVC Elbow 3/4"" - TxT WHITE"
DUR14210,"PVC Elbow 1"" - TxT WHITE"
DUR14316,"PVC Threaded Plug 3/4"" Male Thread"
DUR14318,"PVC Threaded Plug 1"" Male Thread"
DUR14536,"PVC Tee 3/4"" - SxSxS BLACK"
DUR14537,"PVC Tee 1"" - SxSxS BLACK"
DUR14586,"PVC Tee 1.5"" - SxSxS WHITE"
DUR14942,"PVC Tee 1"" - TxTxT WHITE"
DUR14943,"PVC Tee 3/4"" - TxTxT BLACK"
DUR14946,"PVC Tee 1.5"" - TxTxT WHITE"
DUR30702,"PVC Pipe Nipple 3/4"" Sched 80 - 2"" Long"
DUR30704,"PVC Pipe Nipple 3/4"" Sched 80 - 4"" Long"
DUR31002,"PVC Pipe Nipple 1"" Sched 80 - 2"" Long"
DUR31004,"PVC Pipe Nipple 1"" Sched 80 - 4"" Long"
DUR31006,"PVC Pipe Nipple 1"" Sched 80 - 6"" Long"
DUR31502,"PVC Pipe Nipple 1.5"" Sched 80 - 2"" Long"
DUR31504,"PVC Pipe Nipple 1.5"" Sched 80 - 4"" Long"
DUR36107,"PVC Female Adapter 3/4"" Sched 80 - SxFPT GRAY"
DUR36110,"PVC Female Adapter 1"" Sched 80 - SxFPT GRAY"
DUR36115,"PVC Female Adapter 1.5"" Sched 80 - SxFPT GRAY"
DUR40022,"PVC Coupling 3/4"" - SxS BLACK"
DUR40058,"PVC Coupling 1.5"" - SxS BLACK"
DUR40064,"PVC Cap 1.5"" - Slip BLACK"
DUR90007,"PVC Elbow 3/4"" Sched 80 - SxS GRAY"
